function,amount,time_seconds,version
list_append,10000000,0.10399985313415527,2.7.18
list_sort,10000000,0.2569999694824219,2.7.18
list_comprehension,10000000,0.06100010871887207,2.7.18
list_append,10000000,0.08599996566772461,2.7.18
list_sort,10000000,0.23599982261657715,2.7.18
list_comprehension,10000000,0.0690000057220459,2.7.18
list_append,10000000,0.09200000762939453,2.7.18
list_sort,10000000,0.25999999046325684,2.7.18
list_comprehension,10000000,0.06100010871887207,2.7.18
list_append,10000000,0.0970001220703125,2.7.18
list_sort,10000000,0.2630000114440918,2.7.18
list_comprehension,10000000,0.07299995422363281,2.7.18
list_append,10000000,0.09499979019165039,2.7.18
list_sort,10000000,0.2739999294281006,2.7.18
list_comprehension,10000000,0.06800007820129395,2.7.18
list_append,10000000,0.15700006484985352,2.7.18
list_sort,10000000,0.32700014114379883,2.7.18
list_comprehension,10000000,0.0690000057220459,2.7.18
list_append,10000000,0.10300016403198242,2.7.18
list_sort,10000000,0.2780001163482666,2.7.18
list_comprehension,10000000,0.07399988174438477,2.7.18
list_append,10000000,0.13499999046325684,2.7.18
list_sort,10000000,0.33500003814697266,2.7.18
list_comprehension,10000000,0.08100008964538574,2.7.18
list_append,10000000,0.12999987602233887,2.7.18
list_sort,10000000,0.3340001106262207,2.7.18
list_comprehension,10000000,0.07200002670288086,2.7.18
list_append,10000000,0.11400008201599121,2.7.18
list_sort,10000000,0.2819998264312744,2.7.18
list_comprehension,10000000,0.06099987030029297,2.7.18
list_append,10000000,0.10399985313415527,2.7.18
list_sort,10000000,0.2569999694824219,2.7.18
list_comprehension,10000000,0.06100010871887207,2.7.18
list_append,10000000,0.08599996566772461,2.7.18
list_sort,10000000,0.23599982261657715,2.7.18
list_comprehension,10000000,0.0690000057220459,2.7.18
list_append,10000000,0.09200000762939453,2.7.18
list_sort,10000000,0.25999999046325684,2.7.18
list_comprehension,10000000,0.06100010871887207,2.7.18
list_append,10000000,0.0970001220703125,2.7.18
list_sort,10000000,0.2630000114440918,2.7.18
list_comprehension,10000000,0.07299995422363281,2.7.18
list_append,10000000,0.09499979019165039,2.7.18
list_sort,10000000,0.2739999294281006,2.7.18
list_comprehension,10000000,0.06800007820129395,2.7.18
list_append,10000000,0.15700006484985352,2.7.18
list_sort,10000000,0.32700014114379883,2.7.18
list_comprehension,10000000,0.0690000057220459,2.7.18
list_append,10000000,0.10300016403198242,2.7.18
list_sort,10000000,0.2780001163482666,2.7.18
list_comprehension,10000000,0.07399988174438477,2.7.18
list_append,10000000,0.13499999046325684,2.7.18
list_sort,10000000,0.33500003814697266,2.7.18
list_comprehension,10000000,0.08100008964538574,2.7.18
list_append,10000000,0.12999987602233887,2.7.18
list_sort,10000000,0.3340001106262207,2.7.18
list_comprehension,10000000,0.07200002670288086,2.7.18
list_append,10000000,0.11400008201599121,2.7.18
list_sort,10000000,0.2819998264312744,2.7.18
list_comprehension,10000000,0.06099987030029297,2.7.18
list_append,10000000,0.10399985313415527,2.7.18
list_sort,10000000,0.2569999694824219,2.7.18
list_comprehension,10000000,0.06100010871887207,2.7.18
list_append,10000000,0.08599996566772461,2.7.18
list_sort,10000000,0.23599982261657715,2.7.18
list_comprehension,10000000,0.0690000057220459,2.7.18
list_append,10000000,0.09200000762939453,2.7.18
list_sort,10000000,0.25999999046325684,2.7.18
list_comprehension,10000000,0.06100010871887207,2.7.18
list_append,10000000,0.0970001220703125,2.7.18
list_sort,10000000,0.2630000114440918,2.7.18
list_comprehension,10000000,0.07299995422363281,2.7.18
list_append,10000000,0.09499979019165039,2.7.18
list_sort,10000000,0.2739999294281006,2.7.18
list_comprehension,10000000,0.06800007820129395,2.7.18
list_append,10000000,0.15700006484985352,2.7.18
list_sort,10000000,0.32700014114379883,2.7.18
list_comprehension,10000000,0.0690000057220459,2.7.18
list_append,10000000,0.10300016403198242,2.7.18
list_sort,10000000,0.2780001163482666,2.7.18
list_comprehension,10000000,0.07399988174438477,2.7.18
list_append,10000000,0.13499999046325684,2.7.18
list_sort,10000000,0.33500003814697266,2.7.18
list_comprehension,10000000,0.08100008964538574,2.7.18
list_append,10000000,0.12999987602233887,2.7.18
list_sort,10000000,0.3340001106262207,2.7.18
list_comprehension,10000000,0.07200002670288086,2.7.18
list_append,10000000,0.11400008201599121,2.7.18
list_sort,10000000,0.2819998264312744,2.7.18
list_comprehension,10000000,0.06099987030029297,2.7.18
list_append,10000000,0.10399985313415527,2.7.18
list_sort,10000000,0.2569999694824219,2.7.18
list_comprehension,10000000,0.06100010871887207,2.7.18
list_append,10000000,0.08599996566772461,2.7.18
list_sort,10000000,0.23599982261657715,2.7.18
list_comprehension,10000000,0.0690000057220459,2.7.18
list_append,10000000,0.09200000762939453,2.7.18
list_sort,10000000,0.25999999046325684,2.7.18
list_comprehension,10000000,0.06100010871887207,2.7.18
list_append,10000000,0.0970001220703125,2.7.18
list_sort,10000000,0.2630000114440918,2.7.18
list_comprehension,10000000,0.07299995422363281,2.7.18
list_append,10000000,0.09499979019165039,2.7.18
list_sort,10000000,0.2739999294281006,2.7.18
list_comprehension,10000000,0.06800007820129395,2.7.18
list_append,10000000,0.15700006484985352,2.7.18
list_sort,10000000,0.32700014114379883,2.7.18
list_comprehension,10000000,0.0690000057220459,2.7.18
list_append,10000000,0.10300016403198242,2.7.18
list_sort,10000000,0.2780001163482666,2.7.18
list_comprehension,10000000,0.07399988174438477,2.7.18
list_append,10000000,0.13499999046325684,2.7.18
list_sort,10000000,0.33500003814697266,2.7.18
list_comprehension,10000000,0.08100008964538574,2.7.18
list_append,10000000,0.12999987602233887,2.7.18
list_sort,10000000,0.3340001106262207,2.7.18
list_comprehension,10000000,0.07200002670288086,2.7.18
list_append,10000000,0.11400008201599121,2.7.18
list_sort,10000000,0.2819998264312744,2.7.18
list_comprehension,10000000,0.06099987030029297,2.7.18
list_append,10000000,0.10399985313415527,2.7.18
list_sort,10000000,0.2569999694824219,2.7.18
list_comprehension,10000000,0.06100010871887207,2.7.18
list_append,10000000,0.08599996566772461,2.7.18
list_sort,10000000,0.23599982261657715,2.7.18
list_comprehension,10000000,0.0690000057220459,2.7.18
list_append,10000000,0.09200000762939453,2.7.18
list_sort,10000000,0.25999999046325684,2.7.18
list_comprehension,10000000,0.06100010871887207,2.7.18
list_append,10000000,0.0970001220703125,2.7.18
list_sort,10000000,0.2630000114440918,2.7.18
list_comprehension,10000000,0.07299995422363281,2.7.18
list_append,10000000,0.09499979019165039,2.7.18
list_sort,10000000,0.2739999294281006,2.7.18
list_comprehension,10000000,0.06800007820129395,2.7.18
list_append,10000000,0.15700006484985352,2.7.18
list_sort,10000000,0.32700014114379883,2.7.18
list_comprehension,10000000,0.0690000057220459,2.7.18
list_append,10000000,0.10300016403198242,2.7.18
list_sort,10000000,0.2780001163482666,2.7.18
list_comprehension,10000000,0.07399988174438477,2.7.18
list_append,10000000,0.13499999046325684,2.7.18
list_sort,10000000,0.33500003814697266,2.7.18
list_comprehension,10000000,0.08100008964538574,2.7.18
list_append,10000000,0.12999987602233887,2.7.18
list_sort,10000000,0.3340001106262207,2.7.18
list_comprehension,10000000,0.07200002670288086,2.7.18
list_append,10000000,0.11400008201599121,2.7.18
list_sort,10000000,0.2819998264312744,2.7.18
list_comprehension,10000000,0.06099987030029297,2.7.18
list_append,10000000,0.10399985313415527,2.7.18
list_sort,10000000,0.2569999694824219,2.7.18
list_comprehension,10000000,0.06100010871887207,2.7.18
list_append,10000000,0.08599996566772461,2.7.18
list_sort,10000000,0.23599982261657715,2.7.18
list_comprehension,10000000,0.0690000057220459,2.7.18
list_append,10000000,0.09200000762939453,2.7.18
list_sort,10000000,0.25999999046325684,2.7.18
list_comprehension,10000000,0.06100010871887207,2.7.18
list_append,10000000,0.0970001220703125,2.7.18
list_sort,10000000,0.2630000114440918,2.7.18
list_comprehension,10000000,0.07299995422363281,2.7.18
list_append,10000000,0.09499979019165039,2.7.18
list_sort,10000000,0.2739999294281006,2.7.18
list_comprehension,10000000,0.06800007820129395,2.7.18
list_append,10000000,0.15700006484985352,2.7.18
list_sort,10000000,0.32700014114379883,2.7.18
list_comprehension,10000000,0.0690000057220459,2.7.18
list_append,10000000,0.10300016403198242,2.7.18
list_sort,10000000,0.2780001163482666,2.7.18
list_comprehension,10000000,0.07399988174438477,2.7.18
list_append,10000000,0.13499999046325684,2.7.18
list_sort,10000000,0.33500003814697266,2.7.18
list_comprehension,10000000,0.08100008964538574,2.7.18
list_append,10000000,0.12999987602233887,2.7.18
list_sort,10000000,0.3340001106262207,2.7.18
list_comprehension,10000000,0.07200002670288086,2.7.18
list_append,10000000,0.11400008201599121,2.7.18
list_sort,10000000,0.2819998264312744,2.7.18
list_comprehension,10000000,0.06099987030029297,2.7.18
list_append,10000000,0.10399985313415527,2.7.18
list_sort,10000000,0.2569999694824219,2.7.18
list_comprehension,10000000,0.06100010871887207,2.7.18
list_append,10000000,0.08599996566772461,2.7.18
list_sort,10000000,0.23599982261657715,2.7.18
list_comprehension,10000000,0.0690000057220459,2.7.18
list_append,10000000,0.09200000762939453,2.7.18
list_sort,10000000,0.25999999046325684,2.7.18
list_comprehension,10000000,0.06100010871887207,2.7.18
list_append,10000000,0.0970001220703125,2.7.18
list_sort,10000000,0.2630000114440918,2.7.18
list_comprehension,10000000,0.07299995422363281,2.7.18
list_append,10000000,0.09499979019165039,2.7.18
list_sort,10000000,0.2739999294281006,2.7.18
list_comprehension,10000000,0.06800007820129395,2.7.18
list_append,10000000,0.15700006484985352,2.7.18
list_sort,10000000,0.32700014114379883,2.7.18
list_comprehension,10000000,0.0690000057220459,2.7.18
list_append,10000000,0.10300016403198242,2.7.18
list_sort,10000000,0.2780001163482666,2.7.18
list_comprehension,10000000,0.07399988174438477,2.7.18
list_append,10000000,0.13499999046325684,2.7.18
list_sort,10000000,0.33500003814697266,2.7.18
list_comprehension,10000000,0.08100008964538574,2.7.18
list_append,10000000,0.12999987602233887,2.7.18
list_sort,10000000,0.3340001106262207,2.7.18
list_comprehension,10000000,0.07200002670288086,2.7.18
list_append,10000000,0.11400008201599121,2.7.18
list_sort,10000000,0.2819998264312744,2.7.18
list_comprehension,10000000,0.06099987030029297,2.7.18
list_append,10000000,0.10399985313415527,2.7.18
list_sort,10000000,0.2569999694824219,2.7.18
list_comprehension,10000000,0.06100010871887207,2.7.18
list_append,10000000,0.08599996566772461,2.7.18
list_sort,10000000,0.23599982261657715,2.7.18
list_comprehension,10000000,0.0690000057220459,2.7.18
list_append,10000000,0.09200000762939453,2.7.18
list_sort,10000000,0.25999999046325684,2.7.18
list_comprehension,10000000,0.06100010871887207,2.7.18
list_append,10000000,0.0970001220703125,2.7.18
list_sort,10000000,0.2630000114440918,2.7.18
list_comprehension,10000000,0.07299995422363281,2.7.18
list_append,10000000,0.09499979019165039,2.7.18
list_sort,10000000,0.2739999294281006,2.7.18
list_comprehension,10000000,0.06800007820129395,2.7.18
list_append,10000000,0.15700006484985352,2.7.18
list_sort,10000000,0.32700014114379883,2.7.18
list_comprehension,10000000,0.0690000057220459,2.7.18
list_append,10000000,0.10300016403198242,2.7.18
list_sort,10000000,0.2780001163482666,2.7.18
list_comprehension,10000000,0.07399988174438477,2.7.18
list_append,10000000,0.13499999046325684,2.7.18
list_sort,10000000,0.33500003814697266,2.7.18
list_comprehension,10000000,0.08100008964538574,2.7.18
list_append,10000000,0.12999987602233887,2.7.18
list_sort,10000000,0.3340001106262207,2.7.18
list_comprehension,10000000,0.07200002670288086,2.7.18
list_append,10000000,0.11400008201599121,2.7.18
list_sort,10000000,0.2819998264312744,2.7.18
list_comprehension,10000000,0.06099987030029297,2.7.18
list_append,10000000,0.10399985313415527,2.7.18
list_sort,10000000,0.2569999694824219,2.7.18
list_comprehension,10000000,0.06100010871887207,2.7.18
list_append,10000000,0.08599996566772461,2.7.18
list_sort,10000000,0.23599982261657715,2.7.18
list_comprehension,10000000,0.0690000057220459,2.7.18
list_append,10000000,0.09200000762939453,2.7.18
list_sort,10000000,0.25999999046325684,2.7.18
list_comprehension,10000000,0.06100010871887207,2.7.18
list_append,10000000,0.0970001220703125,2.7.18
list_sort,10000000,0.2630000114440918,2.7.18
list_comprehension,10000000,0.07299995422363281,2.7.18
list_append,10000000,0.09499979019165039,2.7.18
list_sort,10000000,0.2739999294281006,2.7.18
list_comprehension,10000000,0.0720000267029,3.0.1
list_append,10000000,0.110000133514,3.0.1
list_sort,10000000,0.628000020981,3.0.1
list_comprehension,10000000,0.115999937057,3.0.1
list_append,10000000,0.115999937057,3.0.1
list_sort,10000000,0.325000047684,3.0.1
list_comprehension,10000000,0.0759999752045,3.0.1
list_append,10000000,0.100000143051,3.0.1
list_sort,10000000,0.315999984741,3.0.1
list_comprehension,10000000,0.0799999237061,3.0.1
list_append,10000000,0.0889999866486,3.0.1
list_sort,10000000,0.266999959946,3.0.1
list_comprehension,10000000,0.0759999752045,3.0.1
list_append,10000000,0.138999938965,3.0.1
list_sort,10000000,0.569999933243,3.0.1
list_comprehension,10000000,0.111999988556,3.0.1
list_append,10000000,0.131999969482,3.0.1
list_sort,10000000,0.427000045776,3.0.1
list_comprehension,10000000,0.0930001735687,3.0.1
list_append,10000000,0.115000009537,3.0.1
list_sort,10000000,0.375999927521,3.0.1
list_comprehension,10000000,0.133000135422,3.0.1
list_append,10000000,0.141000032425,3.0.1
list_sort,10000000,0.384999990463,3.0.1
list_comprehension,10000000,0.0870001316071,3.0.1
list_append,10000000,0.117000102997,3.0.1
list_sort,10000000,0.321000099182,3.0.1
list_comprehension,10000000,0.0869998931885,3.0.1
list_append,10000000,0.113000154495,3.0.1
list_sort,10000000,0.322000026703,3.0.1
list_comprehension,10000000,0.0720000267029,3.0.1
list_append,10000000,0.110000133514,3.0.1
list_sort,10000000,0.628000020981,3.0.1
list_comprehension,10000000,0.115999937057,3.0.1
list_append,10000000,0.115999937057,3.0.1
list_sort,10000000,0.325000047684,3.0.1
list_comprehension,10000000,0.0759999752045,3.0.1
list_append,10000000,0.100000143051,3.0.1
list_sort,10000000,0.315999984741,3.0.1
list_comprehension,10000000,0.0799999237061,3.0.1
list_append,10000000,0.0889999866486,3.0.1
list_sort,10000000,0.266999959946,3.0.1
list_comprehension,10000000,0.0759999752045,3.0.1
list_append,10000000,0.138999938965,3.0.1
list_sort,10000000,0.569999933243,3.0.1
list_comprehension,10000000,0.111999988556,3.0.1
list_append,10000000,0.131999969482,3.0.1
list_sort,10000000,0.427000045776,3.0.1
list_comprehension,10000000,0.0930001735687,3.0.1
list_append,10000000,0.115000009537,3.0.1
list_sort,10000000,0.375999927521,3.0.1
list_comprehension,10000000,0.133000135422,3.0.1
list_append,10000000,0.141000032425,3.0.1
list_sort,10000000,0.384999990463,3.0.1
list_comprehension,10000000,0.0870001316071,3.0.1
list_append,10000000,0.117000102997,3.0.1
list_sort,10000000,0.321000099182,3.0.1
list_comprehension,10000000,0.0869998931885,3.0.1
list_append,10000000,0.113000154495,3.0.1
list_sort,10000000,0.322000026703,3.0.1
list_comprehension,10000000,0.0720000267029,3.0.1
list_append,10000000,0.110000133514,3.0.1
list_sort,10000000,0.628000020981,3.0.1
list_comprehension,10000000,0.115999937057,3.0.1
list_append,10000000,0.115999937057,3.0.1
list_sort,10000000,0.325000047684,3.0.1
list_comprehension,10000000,0.0759999752045,3.0.1
list_append,10000000,0.100000143051,3.0.1
list_sort,10000000,0.315999984741,3.0.1
